Filename,Nuclei,Signal-Area,Signal-Intensity,IntDen,Background-Area,Background-Intensity
1,90,101312,13.9515,1413456,307189,2.54
2,63,73611,20.9297,1540655,348479,2.0226
3,63,79632,15.373,1224181,339965,1.4102
