Filename,Nuclei,Signal-Area,Signal-Intensity,IntDen,Background-Area,Background-Intensity
7,60,61814,17.4506,1078691,361891,2.8163
8,48,62864,14.8656,934509,362099,2.2689
9,70,63462,17.724,1124798,356953,2.6651
