Filename,Nuclei,Signal-Area,Signal-Intensity,IntDen,Background-Area,Background-Intensity
10,37,25012,16.2732,407025,420061,1.3565
11,77,49892,11.4575,571638,387684,1.1805
12,53,28646,11.4654,328438,416917,1.2105
