 ,Label,Area,Circ.,AR,Round,Solidity
1,image4_thresholded.tif,188.013,0.797,1.127,0.887,0.918
2,image4_thresholded.tif,375.181,0.843,1.466,0.682,0.952
3,image4_thresholded.tif,401.376,0.863,1.458,0.686,0.953
4,image4_thresholded.tif,147.453,0.927,1.082,0.924,0.948
5,image4_thresholded.tif,175.338,0.861,1.446,0.692,0.939
6,image4_thresholded.tif,190.125,0.784,1.224,0.817,0.922
7,image4_thresholded.tif,166.043,0.724,1.300,0.769,0.921
8,image4_thresholded.tif,170.690,0.838,1.385,0.722,0.936
9,image4_thresholded.tif,300.821,0.846,1.546,0.647,0.951
10,image4_thresholded.tif,235.755,0.871,1.279,0.782,0.936
11,image4_thresholded.tif,183.365,0.816,1.518,0.659,0.918
12,image4_thresholded.tif,392.926,0.805,1.607,0.622,0.944
13,image4_thresholded.tif,141.960,0.594,1.189,0.841,0.846
14,image4_thresholded.tif,176.605,0.875,1.137,0.879,0.922
15,image4_thresholded.tif,345.183,0.805,1.647,0.607,0.940
16,image4_thresholded.tif,192.238,0.884,1.092,0.916,0.935
17,image4_thresholded.tif,205.335,0.741,1.725,0.580,0.898
18,image4_thresholded.tif,179.563,0.855,1.571,0.637,0.950
19,image4_thresholded.tif,179.985,0.931,1.280,0.781,0.951
20,image4_thresholded.tif,187.168,0.866,1.073,0.932,0.936
21,image4_thresholded.tif,411.516,0.840,1.521,0.657,0.951
22,image4_thresholded.tif,174.493,0.916,1.135,0.881,0.947
23,image4_thresholded.tif,202.800,0.777,1.432,0.698,0.937
24,image4_thresholded.tif,165.620,0.820,1.614,0.620,0.928
25,image4_thresholded.tif,141.538,0.863,1.246,0.802,0.936
26,image4_thresholded.tif,310.961,0.894,1.279,0.782,0.952
27,image4_thresholded.tif,87.880,0.906,1.157,0.864,0.920
28,image4_thresholded.tif,189.280,0.853,1.314,0.761,0.941
29,image4_thresholded.tif,190.548,0.806,1.821,0.549,0.939
30,image4_thresholded.tif,398.841,0.854,1.416,0.706,0.948
31,image4_thresholded.tif,190.548,0.848,1.453,0.688,0.933
32,image4_thresholded.tif,197.730,0.770,1.849,0.541,0.926
33,image4_thresholded.tif,173.225,0.869,1.393,0.718,0.937
34,image4_thresholded.tif,381.941,0.862,1.522,0.657,0.956
35,image4_thresholded.tif,326.171,0.869,1.257,0.796,0.948
36,image4_thresholded.tif,356.591,0.828,1.398,0.715,0.945
37,image4_thresholded.tif,193.505,0.832,1.556,0.643,0.922
38,image4_thresholded.tif,205.758,0.634,1.809,0.553,0.863
39,image4_thresholded.tif,164.775,0.740,1.505,0.665,0.892
40,image4_thresholded.tif,171.535,0.868,1.363,0.734,0.933
41,image4_thresholded.tif,157.593,0.638,2.140,0.467,0.906
42,image4_thresholded.tif,196.040,0.853,1.136,0.880,0.934
43,image4_thresholded.tif,200.688,0.765,1.273,0.785,0.908
44,image4_thresholded.tif,206.603,0.725,1.238,0.808,0.920
45,image4_thresholded.tif,220.123,0.813,1.320,0.757,0.912
46,image4_thresholded.tif,155.058,0.652,2.068,0.484,0.875
47,image4_thresholded.tif,362.083,0.838,1.600,0.625,0.946
48,image4_thresholded.tif,182.520,0.779,1.366,0.732,0.923
49,image4_thresholded.tif,180.408,0.774,1.896,0.527,0.942
50,image4_thresholded.tif,179.985,0.763,1.491,0.671,0.909
51,image4_thresholded.tif,185.900,0.926,1.120,0.893,0.946
52,image4_thresholded.tif,370.111,0.845,1.293,0.773,0.940
53,image4_thresholded.tif,182.520,0.896,1.430,0.699,0.949
54,image4_thresholded.tif,185.055,0.518,1.120,0.893,0.854
55,image4_thresholded.tif,207.025,0.755,1.917,0.522,0.918
56,image4_thresholded.tif,183.365,0.714,1.685,0.593,0.913
57,image4_thresholded.tif,176.183,0.897,1.395,0.717,0.943
58,image4_thresholded.tif,170.268,0.873,1.206,0.829,0.934
59,image4_thresholded.tif,213.363,0.741,1.618,0.618,0.926
60,image4_thresholded.tif,155.903,0.669,1.727,0.579,0.873
61,image4_thresholded.tif,193.083,0.772,1.627,0.615,0.924
62,image4_thresholded.tif,199.420,0.785,1.649,0.606,0.925
63,image4_thresholded.tif,377.293,0.809,1.707,0.586,0.936
64,image4_thresholded.tif,218.433,0.860,1.388,0.721,0.936
65,image4_thresholded.tif,190.548,0.767,1.573,0.636,0.924
66,image4_thresholded.tif,176.605,0.666,2.140,0.467,0.909
67,image4_thresholded.tif,175.338,0.921,1.243,0.805,0.946
68,image4_thresholded.tif,89.148,0.704,1.329,0.752,0.854
69,image4_thresholded.tif,190.125,0.849,1.272,0.786,0.938
70,image4_thresholded.tif,212.940,0.780,1.431,0.699,0.935
71,image4_thresholded.tif,180.830,0.888,1.281,0.781,0.938
72,image4_thresholded.tif,118.300,0.795,1.231,0.812,0.908
73,image4_thresholded.tif,191.393,0.880,1.102,0.907,0.949
74,image4_thresholded.tif,344.338,0.688,1.852,0.540,0.892
75,image4_thresholded.tif,321.523,0.796,1.603,0.624,0.946
76,image4_thresholded.tif,171.113,0.879,1.264,0.791,0.936
77,image4_thresholded.tif,161.818,0.939,1.123,0.891,0.950
78,image4_thresholded.tif,171.535,0.887,1.351,0.740,0.933
79,image4_thresholded.tif,457.146,0.866,1.202,0.832,0.949
80,image4_thresholded.tif,331.241,0.720,1.727,0.579,0.929
81,image4_thresholded.tif,164.353,0.837,1.478,0.677,0.933
82,image4_thresholded.tif,166.043,0.846,1.543,0.648,0.936
83,image4_thresholded.tif,362.928,0.853,1.429,0.700,0.946
84,image4_thresholded.tif,191.815,0.882,1.245,0.803,0.940
85,image4_thresholded.tif,618.964,0.653,1.997,0.501,0.895
86,image4_thresholded.tif,180.408,0.880,1.198,0.835,0.936
87,image4_thresholded.tif,190.125,0.869,1.346,0.743,0.931
88,image4_thresholded.tif,179.140,0.918,1.279,0.782,0.954
89,image4_thresholded.tif,192.660,0.626,2.062,0.485,0.909
90,image4_thresholded.tif,190.970,0.773,1.607,0.622,0.932
91,image4_thresholded.tif,197.730,0.861,1.309,0.764,0.934
92,image4_thresholded.tif,177.450,0.728,1.576,0.634,0.903
93,image4_thresholded.tif,359.126,0.815,1.160,0.862,0.943
94,image4_thresholded.tif,191.815,0.877,1.274,0.785,0.935
95,image4_thresholded.tif,189.280,0.824,1.529,0.654,0.931
96,image4_thresholded.tif,77.740,0.936,1.086,0.921,0.925
97,image4_thresholded.tif,214.208,0.765,1.531,0.653,0.918
98,image4_thresholded.tif,177.450,0.768,1.580,0.633,0.915
99,image4_thresholded.tif,182.520,0.852,1.568,0.638,0.936
100,image4_thresholded.tif,332.086,0.862,1.409,0.710,0.952
101,image4_thresholded.tif,190.970,0.843,1.471,0.680,0.928
102,image4_thresholded.tif,189.703,0.591,2.750,0.364,0.881
103,image4_thresholded.tif,379.828,0.732,2.051,0.487,0.922
104,image4_thresholded.tif,214.630,0.843,1.502,0.666,0.946
105,image4_thresholded.tif,271.668,0.672,1.932,0.518,0.869
106,image4_thresholded.tif,176.183,0.812,1.389,0.720,0.906
107,image4_thresholded.tif,190.548,0.806,1.571,0.637,0.940
108,image4_thresholded.tif,220.123,0.802,1.767,0.566,0.935
