 ,Label,Area,Circ.,AR,Round,Solidity
1,sample3_thresholded.tif,160.550,0.904,1.359,0.736,0.939
2,sample3_thresholded.tif,125.060,0.575,2.411,0.415,0.862
3,sample3_thresholded.tif,130.130,0.791,1.620,0.617,0.915
4,sample3_thresholded.tif,111.963,0.892,1.417,0.706,0.941
5,sample3_thresholded.tif,146.608,0.831,1.500,0.667,0.925
6,sample3_thresholded.tif,114.075,0.761,1.814,0.551,0.915
7,sample3_thresholded.tif,164.775,0.865,1.080,0.926,0.917
8,sample3_thresholded.tif,156.325,0.847,1.503,0.665,0.931
9,sample3_thresholded.tif,148.298,0.784,1.483,0.674,0.916
10,sample3_thresholded.tif,157.170,0.877,1.356,0.738,0.931
11,sample3_thresholded.tif,70.135,0.806,1.719,0.582,0.905
12,sample3_thresholded.tif,114.498,0.855,1.477,0.677,0.930
13,sample3_thresholded.tif,122.103,0.809,1.542,0.649,0.910
14,sample3_thresholded.tif,165.198,0.749,1.640,0.610,0.910
15,sample3_thresholded.tif,119.145,0.893,1.336,0.748,0.931
16,sample3_thresholded.tif,138.158,0.899,1.213,0.824,0.938
17,sample3_thresholded.tif,163.508,0.872,1.512,0.661,0.933
18,sample3_thresholded.tif,105.203,0.831,1.674,0.597,0.919
19,sample3_thresholded.tif,144.918,0.785,1.641,0.609,0.900
20,sample3_thresholded.tif,177.028,0.804,1.572,0.636,0.926
21,sample3_thresholded.tif,119.990,0.860,1.169,0.856,0.916
22,sample3_thresholded.tif,166.043,0.817,1.581,0.632,0.926
23,sample3_thresholded.tif,119.568,0.684,1.805,0.554,0.861
24,sample3_thresholded.tif,135.200,0.754,1.744,0.574,0.937
25,sample3_thresholded.tif,131.820,0.879,1.291,0.774,0.927
26,sample3_thresholded.tif,138.580,0.863,1.359,0.736,0.937
27,sample3_thresholded.tif,135.623,0.666,1.847,0.541,0.889
28,sample3_thresholded.tif,152.945,0.798,1.275,0.785,0.892
29,sample3_thresholded.tif,127.173,0.870,1.338,0.747,0.935
30,sample3_thresholded.tif,120.413,0.854,1.463,0.684,0.928
31,sample3_thresholded.tif,163.508,0.732,2.066,0.484,0.920
32,sample3_thresholded.tif,163.930,0.894,1.525,0.656,0.946
33,sample3_thresholded.tif,198.998,0.854,1.316,0.760,0.936
34,sample3_thresholded.tif,104.358,0.753,1.853,0.540,0.900
35,sample3_thresholded.tif,120.413,0.803,1.848,0.541,0.928
36,sample3_thresholded.tif,495.170,0.642,1.988,0.503,0.879
37,sample3_thresholded.tif,158.860,0.829,1.610,0.621,0.923
38,sample3_thresholded.tif,218.433,0.754,1.210,0.826,0.878
39,sample3_thresholded.tif,156.325,0.814,1.693,0.591,0.923
40,sample3_thresholded.tif,165.198,0.836,1.414,0.707,0.931
41,sample3_thresholded.tif,181.253,0.836,1.685,0.594,0.937
42,sample3_thresholded.tif,169.845,0.776,1.260,0.794,0.916
43,sample3_thresholded.tif,181.675,0.769,1.752,0.571,0.916
44,sample3_thresholded.tif,46.898,0.635,2.139,0.467,0.860
45,sample3_thresholded.tif,56.193,0.623,2.902,0.345,0.911
46,sample3_thresholded.tif,50.278,0.944,1.281,0.780,0.933
