 ,Label,Area,Circ.,AR,Round,Solidity
706,sample1_thresholded.tif,248.853,0.819,1.680,0.595,0.926
707,sample1_thresholded.tif,179.985,0.724,1.996,0.501,0.907
708,sample1_thresholded.tif,202.800,0.865,1.209,0.827,0.933
709,sample1_thresholded.tif,240.403,0.814,1.637,0.611,0.940
710,sample1_thresholded.tif,168.578,0.830,1.650,0.606,0.924
711,sample1_thresholded.tif,198.998,0.861,1.346,0.743,0.935
712,sample1_thresholded.tif,220.545,0.819,1.730,0.578,0.940
713,sample1_thresholded.tif,214.208,0.879,1.405,0.712,0.941
714,sample1_thresholded.tif,218.010,0.789,1.699,0.589,0.934
715,sample1_thresholded.tif,185.900,0.857,1.223,0.818,0.923
716,sample1_thresholded.tif,247.585,0.853,1.389,0.720,0.937
717,sample1_thresholded.tif,174.070,0.862,1.324,0.755,0.919
718,sample1_thresholded.tif,176.605,0.886,1.421,0.704,0.940
719,sample1_thresholded.tif,220.545,0.860,1.437,0.696,0.955
720,sample1_thresholded.tif,246.740,0.852,1.016,0.984,0.931
721,sample1_thresholded.tif,72.248,0.693,1.120,0.893,0.855
722,sample1_thresholded.tif,196.040,0.860,1.266,0.790,0.932
723,sample1_thresholded.tif,528.125,0.651,2.369,0.422,0.904
724,sample1_thresholded.tif,157.593,0.894,1.258,0.795,0.940
725,sample1_thresholded.tif,227.305,0.830,1.157,0.864,0.926
726,sample1_thresholded.tif,196.463,0.903,1.206,0.829,0.944
727,sample1_thresholded.tif,186.745,0.836,1.568,0.638,0.925
728,sample1_thresholded.tif,232.798,0.844,1.130,0.885,0.929
729,sample1_thresholded.tif,657.833,0.599,2.644,0.378,0.903
730,sample1_thresholded.tif,279.273,0.876,1.399,0.715,0.939
731,sample1_thresholded.tif,255.190,0.808,1.687,0.593,0.926
732,sample1_thresholded.tif,15.633,0.782,1.439,0.695,0.796
733,sample1_thresholded.tif,247.163,0.822,1.592,0.628,0.928
734,sample1_thresholded.tif,397.995,0.840,1.416,0.706,0.954
735,sample1_thresholded.tif,209.560,0.848,1.402,0.713,0.931
736,sample1_thresholded.tif,262.373,0.813,1.460,0.685,0.939
737,sample1_thresholded.tif,179.140,0.874,1.232,0.811,0.928
738,sample1_thresholded.tif,238.290,0.853,1.161,0.861,0.928
739,sample1_thresholded.tif,213.785,0.669,1.668,0.599,0.883
740,sample1_thresholded.tif,193.083,0.882,1.047,0.955,0.941
741,sample1_thresholded.tif,389.545,0.728,1.749,0.572,0.907
742,sample1_thresholded.tif,15.633,0.881,1.536,0.651,0.881
