 ,Label,Area,Circ.,AR,Round,Solidity
1,sample2_thresholded.tif,247.585,0.813,1.731,0.578,0.947
2,sample2_thresholded.tif,243.783,0.577,1.624,0.616,0.842
3,sample2_thresholded.tif,152.523,0.514,2.244,0.446,0.775
4,sample2_thresholded.tif,108.160,0.742,1.527,0.655,0.880
5,sample2_thresholded.tif,775.288,0.709,1.231,0.813,0.888
6,sample2_thresholded.tif,157.593,0.900,1.288,0.776,0.944
7,sample2_thresholded.tif,192.238,0.861,1.288,0.776,0.929
8,sample2_thresholded.tif,147.453,0.797,1.394,0.717,0.904
9,sample2_thresholded.tif,19.858,0.833,1.137,0.879,0.839
10,sample2_thresholded.tif,73.515,0.785,1.460,0.685,0.890
11,sample2_thresholded.tif,92.528,0.797,1.442,0.694,0.892
12,sample2_thresholded.tif,264.908,0.783,1.378,0.726,0.916
13,sample2_thresholded.tif,86.613,0.913,1.093,0.915,0.919
14,sample2_thresholded.tif,87.880,0.835,1.435,0.697,0.895
15,sample2_thresholded.tif,141.960,0.832,1.508,0.663,0.935
16,sample2_thresholded.tif,152.523,0.845,1.385,0.722,0.919
17,sample2_thresholded.tif,123.793,0.878,1.395,0.717,0.935
18,sample2_thresholded.tif,127.595,0.857,1.656,0.604,0.944
19,sample2_thresholded.tif,157.593,0.817,1.236,0.809,0.920
20,sample2_thresholded.tif,129.708,0.791,1.441,0.694,0.908
21,sample2_thresholded.tif,171.113,0.810,1.354,0.739,0.925
22,sample2_thresholded.tif,275.048,0.842,1.419,0.705,0.935
23,sample2_thresholded.tif,269.978,0.914,1.210,0.827,0.954
24,sample2_thresholded.tif,369.688,0.670,2.182,0.458,0.883
25,sample2_thresholded.tif,118.723,0.824,1.622,0.617,0.940
26,sample2_thresholded.tif,267.865,0.830,1.382,0.724,0.926
27,sample2_thresholded.tif,174.915,0.818,1.311,0.763,0.908
28,sample2_thresholded.tif,111.118,0.832,1.576,0.634,0.913
29,sample2_thresholded.tif,174.915,0.846,1.409,0.710,0.924
30,sample2_thresholded.tif,193.928,0.823,1.534,0.652,0.916
31,sample2_thresholded.tif,299.975,0.882,1.406,0.711,0.956
32,sample2_thresholded.tif,157.170,0.885,1.139,0.878,0.935
33,sample2_thresholded.tif,96.753,0.908,1.336,0.748,0.939
34,sample2_thresholded.tif,121.680,0.798,1.585,0.631,0.925
35,sample2_thresholded.tif,166.888,0.852,1.357,0.737,0.929
36,sample2_thresholded.tif,136.468,0.888,1.259,0.794,0.939
37,sample2_thresholded.tif,131.820,0.858,1.474,0.678,0.931
38,sample2_thresholded.tif,219.278,0.740,1.358,0.737,0.907
39,sample2_thresholded.tif,118.300,0.883,1.161,0.861,0.924
40,sample2_thresholded.tif,126.328,0.843,1.467,0.682,0.917
41,sample2_thresholded.tif,159.705,0.794,1.527,0.655,0.930
42,sample2_thresholded.tif,388.700,0.715,1.874,0.534,0.926
43,sample2_thresholded.tif,148.720,0.819,1.481,0.675,0.921
44,sample2_thresholded.tif,141.115,0.813,1.541,0.649,0.919
45,sample2_thresholded.tif,139.848,0.763,1.884,0.531,0.917
46,sample2_thresholded.tif,122.103,0.833,1.609,0.622,0.954
47,sample2_thresholded.tif,145.763,0.889,1.281,0.781,0.927
48,sample2_thresholded.tif,78.585,0.616,1.826,0.548,0.845
49,sample2_thresholded.tif,120.413,0.818,1.581,0.633,0.911
50,sample2_thresholded.tif,155.480,0.867,1.177,0.850,0.934
51,sample2_thresholded.tif,297.440,0.692,2.081,0.481,0.921
52,sample2_thresholded.tif,200.265,0.797,1.262,0.793,0.921
53,sample2_thresholded.tif,40.138,0.862,1.494,0.669,0.888
54,sample2_thresholded.tif,165.620,0.813,1.622,0.616,0.925
55,sample2_thresholded.tif,181.253,0.876,1.269,0.788,0.933
56,sample2_thresholded.tif,160.973,0.840,1.176,0.850,0.920
57,sample2_thresholded.tif,111.118,0.938,1.200,0.833,0.938
58,sample2_thresholded.tif,174.493,0.846,1.500,0.667,0.941
59,sample2_thresholded.tif,81.120,0.685,1.977,0.506,0.879
60,sample2_thresholded.tif,207.025,0.787,1.463,0.684,0.920
61,sample2_thresholded.tif,118.300,0.870,1.330,0.752,0.909
62,sample2_thresholded.tif,340.535,0.706,1.937,0.516,0.892
63,sample2_thresholded.tif,190.125,0.804,1.557,0.642,0.916
